sensor_id;sensor_type;location;lat;lon;timestamp;P1;P2;P0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T07:01:52;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T07:04:52;1;1;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T07:04:58;1;1;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T07:07:58;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T07:08:04;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T07:11:04;3;1;1
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T07:11:12;3;1;1
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T07:14:11;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T07:14:18;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T07:17:17;2;2;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T07:17:27;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T07:20:23;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T07:20:33;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T07:23:29;1;1;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T07:23:39;1;1;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T07:26:35;8;2;2
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T07:26:47;8;2;2
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T07:29:41;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T07:29:53;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T07:32:47;3;3;2
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T07:32:58;3;3;2
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T07:35:54;4;4;4
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T07:36:05;4;4;4
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T07:38:59;10;7;4
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T07:39:11;10;7;4
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T07:42:06;4;4;4
